TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,5/4/2025,1034,2059,402,0.0,2048.2,10%,Debit
2,5/4/2025,1066,2048,403,1.0,321.87,20%,Credit
3,5/4/2025,1116,2041,403,3.0,3216.84,75%,Debit
4,5/4/2025,1071,2096,404,2.0,1613.23,75%,Debit
5,5/4/2025,1020,2060,401,0.0,408.38,75%,Debit
6,5/4/2025,1089,2028,401,0.0,1275.88,25%,Debit
7,5/4/2025,1193,2003,402,1.0,346.66,15%,Debit
8,5/4/2025,1005,2079,402,1.0,855.49,50%,Debit
9,5/4/2025,1032,2060,401,1.0,735.08,50%,Credit
10,5/4/2025,1119,2089,403,2.0,661.63,50%,Debit
11,5/4/2025,1042,2077,401,,505.65,20%,Debit
12,5/4/2025,1079,2013,401,2.0,0,20%,Debit
13,5/4/2025,1147,2086,404,3.0,4470.5,25%,Debit
14,5/4/2025,1183,2025,401,1.0,503.32,10%,Debit
15,5/4/2025,1026,2089,403,0.0,413.52,20%,Credit
16,5/4/2025,1144,2005,403,3.0,1715.12,10%,Credit
17,5/4/2025,1169,2047,401,2.0,535.97,20%,Cash
18,5/4/2025,1003,2053,404,0.0,3660.9,20%,Debit
19,5/4/2025,1110,2046,404,1.0,30.09,10%,Debit
20,5/4/2025,1111,2022,403,3.0,671.18,15%,Credit
21,5/4/2025,1119,2055,403,2.0,?,20%,Debit
22,5/4/2025,1062,2011,403,3.0,1229.22,75%,Credit
23,5/4/2025,1062,2096,404,3.0,672.18,10%,Debit
24,5/4/2025,1086,2003,404,2.0,924.43,20%,Cash
25,5/4/2025,1046,2062,402,2.0,1981.95,10%,Cash
26,5/4/2025,1066,2043,403,2.0,698.76,20%,Cash
27,5/4/2025,1142,2001,402,0.0,1237.05,20%,Cash
28,5/4/2025,1061,2092,404,3.0,482.21,20%,Debit
29,5/4/2025,1142,2097,402,3.0,4210.5,20%,Credit
30,5/4/2025,1165,2091,404,3.0,4528.95,20%,Debit
31,2023-13-01,1004,2011,403,1.0,737.53,10%,Debit
32,5/4/2025,1103,2088,402,2.0,0,15%,Credit
33,5/4/2025,1169,2074,403,3.0,0,75%,Debit
34,5/4/2025,1141,2067,403,3.0,872.85,15%,Debit
35,5/4/2025,1190,2070,403,2.0,54.69,10%,Debit
36,5/4/2025,1179,2058,403,2.0,1066.8,50%,Debit
37,5/4/2025,1064,2029,401,1.0,12.16,10%,Cash
38,5/4/2025,1080,2015,402,1.0,3037.36,75%,Cash
39,5/4/2025,1055,2094,404,2.0,1578.72,10%,Credit
40,5/4/2025,1185,2075,403,0.0,0,10%,Debit
41,5/4/2025,9999,2037,402,2.0,288.11,15%,Debit
42,5/4/2025,1045,2038,401,1.0,1667.72,15%,Credit
43,5/4/2025,1070,2005,401,2.0,686.05,10%,Debit
44,5/4/2025,1178,2016,404,0.0,0,20%,Debit
45,5/4/2025,1003,2073,403,3.0,1498.29,10%,Credit
46,5/4/2025,1122,2056,403,1.0,944.5,10%,Debit
47,5/4/2025,1013,2032,404,0.0,2836.8,20%,Debit
48,5/4/2025,1016,2051,404,0.0,117.32,75%,Debit
49,5/4/2025,1147,2080,401,1.0,0,75%,Debit
50,5/4/2025,1038,2072,403,0.0,840.6,15%,Cash
51,5/4/2025,1063,2015,404,1.0,1214.95,20%,Cash
52,5/4/2025,1198,2066,404,3.0,516.06,20%,Credit
53,5/4/2025,1113,2038,404,2.0,2223.62,20%,Credit
54,5/4/2025,1145,2079,401,0.0,1901.08,20%,Credit
55,5/4/2025,1195,2026,402,2.0,507.74,20%,Debit
56,5/4/2025,1169,2010,402,1.0,140.11,20%,Debit
57,5/4/2025,1044,2070,401,1.0,0,15%,Debit
58,5/4/2025,1000,2052,404,3.0,2193.78,15%,Debit
59,5/4/2025,1074,2004,402,2.0,741.8,20%,Credit
60,5/4/2025,1180,2036,404,0.0,217.98,10%,Cash
61,5/4/2025,1175,2029,403,1.0,36.48,20%,Debit
62,5/4/2025,1108,2014,402,1.0,221.67,25%,Debit
63,5/4/2025,1068,2018,401,0.0,2169.04,10%,Cash
64,5/4/2025,1042,2039,403,3.0,2929.32,10%,Debit
65,5/4/2025,1031,2059,403,3.0,0,10%,Debit
66,5/4/2025,1069,2064,404,3.0,1470.2,25%,Cash
67,5/4/2025,1020,2076,401,3.0,4836.42,50%,Cash
68,5/4/2025,1188,2041,403,0.0,1608.42,50%,Debit
69,5/4/2025,1023,2029,401,2.0,0,10%,Debit
70,5/4/2025,1147,2005,402,3.0,0,10%,Debit
71,5/4/2025,1132,2083,404,2.0,614.53,75%,Cash
72,5/4/2025,1046,2074,404,3.0,659.5,15%,Debit
73,5/4/2025,1023,2060,403,3.0,1225.14,10%,Credit
74,5/4/2025,1085,2041,401,1.0,1447.58,10%,Credit
75,5/4/2025,1084,2052,404,2.0,2925.04,10%,Debit
76,5/4/2025,1169,2051,401,3.0,117.32,20%,Credit
77,5/4/2025,1022,2040,403,2.0,55.26,10%,Debit
78,5/4/2025,1029,2098,404,0.0,3631.44,15%,Debit
79,5/4/2025,1168,2069,404,3.0,232.39,15%,Cash
80,5/4/2025,1013,2024,403,3.0,372.81,15%,Debit
81,5/4/2025,1160,2056,401,1.0,472.25,20%,Debit
82,5/4/2025,1068,2070,402,2.0,109.38,10%,Debit
83,5/4/2025,1112,2089,404,0.0,2067.6,75%,Credit
84,5/4/2025,1007,2080,402,1.0,1498.07,20%,Credit
85,5/4/2025,1079,2070,401,3.0,34.18,10%,Debit
86,5/4/2025,1023,2028,401,3.0,2551.76,10%,Credit
87,5/4/2025,1030,2082,402,3.0,799.8,10%,Credit
88,5/4/2025,1183,2037,403,3.0,2160.84,25%,Cash
89,5/4/2025,1123,2060,402,3.0,2450.28,20%,Cash
90,5/4/2025,1141,2018,404,1.0,2440.17,20%,Cash
91,5/4/2025,1153,2065,402,0.0,470.34,10%,Cash
92,5/4/2025,1070,2098,404,2.0,0,10%,Debit
93,5/4/2025,1129,2034,401,2.0,108.94,20%,Credit
94,5/4/2025,1185,2038,404,1.0,1667.72,20%,Debit
95,5/4/2025,1114,2068,404,2.0,656.19,25%,Debit
96,5/4/2025,1085,2070,404,3.0,0,75%,Debit
97,5/4/2025,1082,2024,402,3.0,372.81,15%,Cash
98,5/4/2025,1059,2099,404,0.0,1292.64,10%,Cash
99,5/4/2025,1081,2095,404,3.0,490.79,20%,Debit
100,5/4/2025,1098,2084,402,3.0,0,15%,Debit
101,5/4/2025,1009,2016,403,0.0,969.06,10%,Debit
102,5/4/2025,1112,2012,404,0.0,1869.57,20%,Credit
103,5/4/2025,1184,2018,404,1.0,488.03,20%,Debit
104,5/4/2025,1019,2060,403,2.0,0,20%,Debit
105,5/4/2025,1159,2088,404,0.0,0,15%,Cash
106,5/4/2025,1084,2086,404,2.0,2861.12,25%,Debit
107,5/4/2025,1160,2091,404,0.0,905.79,10%,Credit
108,5/4/2025,1158,2008,402,2.0,159.82,15%,Cash
109,5/4/2025,1058,2095,401,3.0,2453.95,25%,Credit
110,5/4/2025,1025,2097,401,3.0,842.1,20%,Debit
111,5/4/2025,1042,2088,403,0.0,709.35,50%,Debit
112,5/4/2025,1011,2041,401,2.0,0,75%,Debit
113,5/4/2025,1091,2047,404,1.0,0,50%,Credit
114,5/4/2025,1062,2067,404,1.0,0,20%,Cash
115,5/4/2025,1043,2022,401,3.0,2684.72,20%,Cash
116,5/4/2025,1158,2087,402,3.0,477.96,10%,Credit
117,5/4/2025,1149,2018,402,3.0,1626.78,25%,Credit
118,5/4/2025,1163,2032,404,2.0,756.48,10%,Debit
119,5/4/2025,1170,2001,404,2.0,659.76,10%,Cash
120,5/4/2025,1173,2069,402,0.0,464.78,50%,Cash
121,5/4/2025,1113,2044,403,3.0,0,25%,Cash
122,5/4/2025,1176,2032,404,2.0,756.48,50%,Debit
123,5/4/2025,1050,2049,404,0.0,2819.52,75%,Cash
124,5/4/2025,1060,2048,403,2.0,1144.42,10%,Debit
125,5/4/2025,1179,2037,401,3.0,1440.56,20%,Debit
126,5/4/2025,1070,2001,401,3.0,0,75%,Debit
127,5/4/2025,1073,2099,402,2.0,0,10%,Cash
128,5/4/2025,1056,2081,402,2.0,0,75%,Debit
129,5/4/2025,1173,2096,402,0.0,672.18,25%,Cash
130,5/4/2025,1160,2082,401,2.0,426.56,15%,Debit
131,5/4/2025,1112,2004,403,1.0,1669.05,75%,Credit
132,5/4/2025,1023,2037,403,3.0,2160.84,50%,Credit
133,5/4/2025,1044,2025,402,2.0,223.7,20%,Credit
134,5/4/2025,1135,2064,403,1.0,793.91,15%,Debit
135,5/4/2025,1065,2061,403,2.0,639.74,20%,Credit
136,5/4/2025,1029,2059,401,1.0,921.69,75%,Cash
137,5/4/2025,1193,2028,404,2.0,1531.06,20%,Credit
138,5/4/2025,1023,2050,401,2.0,298.85,10%,Cash
139,5/4/2025,1137,2015,404,2.0,539.98,15%,Debit
140,5/4/2025,1172,2095,403,3.0,2453.95,20%,Cash
141,5/4/2025,1163,2047,401,1.0,301.48,75%,Debit
142,5/4/2025,1120,2003,403,1.0,1039.99,20%,Debit
143,5/4/2025,1165,2008,404,2.0,53.27,75%,Debit
144,5/4/2025,1166,2052,401,1.0,658.13,25%,Debit
145,5/4/2025,1011,2004,403,3.0,3709,50%,Debit
146,5/4/2025,1029,2012,402,1.0,0,15%,Credit
147,5/4/2025,1099,2058,403,3.0,666.75,20%,Debit
148,5/4/2025,1150,2095,402,3.0,490.79,75%,Debit
